;begin;LocationPath;Literal;Number;FunctionName;Argument;FunctionCall;Operator;ExprToken;QName
/;-1;LocationPath;-1;-1;Argument;Argument;-1;LocationPath;LocationPath;LocationPath
//;-1;LocationPath;-1;-1;Argument;Argument;-1;LocationPath;LocationPath;LocationPath
::;-1;LocationPath;-1;-1;Argument;Argument;-1;-1;-1;LocationPath
AxisName;-1;LocationPath;-1;-1;Argument;Argument;-1;LocationPath;LocationPath;LocationPath
,;-1;LocationPath;-1;-1;Argument;Argument;-1;-1;-1;-1
(;-1;LocationPath;-1;-1;Argument;Argument;-1;ExprToken;ExprToken;FunctionName
);-1;LocationPath;ExprToken;ExprToken;-1;FunctionCall;ExprToken;-1;ExprToken;ExprToken
();-1;LocationPath;-1;-1;Argument;Argument;-1;-1;-1;FunctionCall
[;ExprToken;ExprToken;-1;-1;Argument;Argument;-1;-1;ExprToken;ExprToken
];-1;ExprToken;ExprToken;ExprToken;Argument;Argument;ExprToken;-1;ExprToken;ExprToken
AbbreviatedStep;-1;LocationPath;-1;-1;Argument;Argument;-1;LocationPath;LocationPath;LocationPath
AbbreviatedAxisSpecifier;-1;LocationPath;-1;-1;Argument;Argument;-1;LocationPath;LocationPath;LocationPath
Union;-1;LocationPath;-1;-1;Argument;Argument;-1;-1;-1;LocationPath
Operator;-1;Operator;Operator;Operator;Argument;Argument;Operator;-1;Operator;Operator
*;-1;LocationPath;Operator;Operator;Argument;Argument;Operator;LocationPath;LocationPath;LocationPath
NodeType;-1;LocationPath;-1;-1;Argument;Argument;-1;LocationPath;LocationPath;LocationPath
processing-instruction;-1;LocationPath;-1;-1;Argument;Argument;-1;LocationPath;LocationPath;LocationPath
Unknown;-1;LocationPath;-1;-1;Argument;Argument;-1;Unknown;Unknown;-1
S;begin;LocationPath;Literal;Number;Argument;Argument;FunctionCall;Operator;ExprToken;QName
